caminho	extensao	tamanho_bytes	ano_inferido	projeto_inferido
-Users-aac-Dev-hoffguru__server-hoff.md	md	913	2026	outro
-Users-aac-Dev-bc-----__feedback_affine_mcp_workflow.md	md	2084	2026	outro
-Users-aac-Dev--comp__project_pending_adjustments.md	md	2292	2026	plev
-Users-aac-Dev-bc-----__feedback_execute_dont_tutor.md	md	870	2026	outro
-Users-aac-Dev-bc-----__feedback_verify_before_report.md	md	877	2026	outro
-Users-aac-Dev-bc-bunker-ortsa__project_ortsa_critical_issues.md	md	1276	2026	outro
-Users-aac-Dev--comp__feedback_dont_reinvent.md	md	693	2026	plev
-Users-aac-Dev-bc-databasematrix-bc-ai-welfare-suppression-index__bugs-and-fixes.md	md	1779	2026	outro
-Users-aac-Dev-bc-databasematrix-projects-grito__MEMORY.md	md	7113	2026	outro
-Users-aac-Dev--comp__project_phi_context.md	md	1660	2026	phi
-Users-aac-Dev-bc-----__project_session22_mcp_features.md	md	1220	2026	outro
history_fromclaude33.jsonl	jsonl	271759	2026	outro
-Users-aac-Dev--comp__user_neurodivergent_team.md	md	1157	2026	plev
-Users-aac-Dev--comp__reference_hoff_nds.md	md	944	2026	plev
-Users-aac-Dev-plev__project_gitbutler_plev.md	md	2510	2026	plev
mcp-needs-auth-cache.json	json	85	2026	outro
-Users-aac-Dev-plev__project_task42_phase4_learnings.md	md	2132	2026	plev
-Users-aac-Dev-bc-----__project_session20b_lockdown.md	md	2301	2026	outro
-Users-aac-Dev-plev__user_plev_significance.md	md	523	2026	plev
-Users-aac-Dev-bc-----__feedback_read_docs_first.md	md	1093	2026	outro
-Users-aac-Dev--comp__MEMORY.md	md	1117	2026	plev
.last-cleanup_alt1	last-cleanup_alt1	24	2026	outro
-Users-aac-Dev-bc-bunker-demosfront__feedback_testing.md	md	536	2026	outro
-Users-aac-Desktop-videos__project_nlu_extract.md	md	1684	2026	outro
.DS_Store	ds_store	38916	2026	outro
-Users-aac-Dev--comp__user_brenner.md	md	1019	2026	plev
see.gly	gly	0	2026	outro
-Users-aac-Dev-skinai__MEMORY.md	md	3839	2026	outro
-Users-aac-Dev-bc-----__project_session15_state.md	md	2333	2026	outro
settings.json	json	1619	2026	outro
settings.local_alt1.json	json	2514	2026	outro
-Users-aac-Dev-bc-----__feedback_test_properly.md	md	976	2026	outro
-Users-aac-Dev-bc-databasematrix-bc-ai-welfare-suppression-index__findings.md	md	4445	2026	outro
statusline.py	py	1592	2026	outro
-Users-aac-Dev-plev__feedback_code_style.md	md	745	2026	plev
-Users-aac-Dev-bc-databasematrix-bc-ai-paper01__MEMORY.md	md	1010	2026	outro
-Users-aac-Dev-bc-----__project_session13_state.md	md	3352	2026	outro
-Users-aac-Dev--comp__feedback_showcase_execution_v2.md	md	1559	2026	plev
-Users-aac-Dev-bc-databasematrix-bc-bc-com__MEMORY.md	md	3556	2026	outro
-Users-aac-Dev--comp__feedback_communication.md	md	588	2026	plev
-Users-aac-Dev-bc-----__project_session23_mcp_expansion.md	md	2581	2026	outro
-Users-aac-Dev-bc-bunker-demosfront__MEMORY.md	md	352	2026	outro
history_fromcla3.jsonl	jsonl	160522	2026	outro
.last-cleanup	last-cleanup	24	2026	outro
-Users-aac-Dev-bc-bunker-ortsa__project_ortsa_expansion_2026_03_12.md	md	1720	2026	outro
-Users-aac-Dev-bc-----__project_session24_email_relay.md	md	1258	2026	outro
settings.local.json	json	2514	2026	outro
-Users-aac-Dev-plev__reference_repos_cloned.md	md	1327	2026	plev
-Users-aac-Dev-plev__MEMORY.md	md	4608	2026	plev
-Users-aac-Dev-bc-databasematrix-hoff-emotional-seeds__architecture.md	md	2161	2026	outro
mcp-needs-auth-cache_alt1.json	json	85	2026	outro
settings_alt1.json	json	1619	2026	outro
-Users-aac-Dev--comp__project_pagegrid_created.md	md	824	2026	plev
-Users-aac-Dev-bc-----__project_session14_multiserver.md	md	4083	2026	outro
-Users-aac-Dev-bc-----__feedback_no_goodbyes.md	md	594	2026	outro
-Users-aac-Dev-bc-databasematrix-grito__MEMORY.md	md	4207	2026	outro
history_alt2.jsonl	jsonl	681124	2026	outro
see copy.gly	gly	0	2026	outro
-Users-aac-Dev-plev__task34_extracted_patterns.md	md	1588	2026	plev
-Users-aac-Dev-truw__verification-pipeline.md	md	3152	2026	outro
-Users-aac-Dev--comp__feedback_one_page_at_a_time.md	md	742	2026	plev
-Users-aac-Dev-plev__feedback_backend_first.md	md	715	2026	plev
daemon.log	log	2936	2026	outro
-Users-aac-Dev-bc-databasematrix-bc-ai-welfare-suppression-index__architecture-decisions.md	md	3207	2026	outro
-Users-aac-Dev-bc-bunker-demosfront__user_profile.md	md	564	2026	outro
-Users-aac-Dev-bc-bunker-ortsa__feedback_scale.md	md	989	2026	outro
-Users-aac-Dev-truw__web-shims-architecture.md	md	1434	2026	outro
-Users-aac-Dev-bc-----__project_euthymia_protocol.md	md	925	2026	outro
-Users-aac-Dev-bc-----__project_session_forwardemail.md	md	4673	2026	outro
-Users-aac-Desktop-videos__feedback_no_boilerplate.md	md	1001	2026	outro
-Users-aac-Dev-truw__MEMORY.md	md	1780	2026	outro
-Users-aac-Dev-skinai__strategic-architecture.md	md	2395	2026	outro
